"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11504","click next page shows different candidates","chromium","2026-04-08","passed","2026-04-08","Homepage — Pagination","e2e/homepage/10-homepage-pagination.spec.ts","",""
"","18609","edit work phone number of last created candidate","chromium","2026-04-08","passed","2026-04-08","Candidate — Edit Profile","e2e/Candidate/02-edit-candidate.spec.ts","",""
"","43586","bulk upload 5 candidates and verify in table","chromium","2026-04-08","passed","2026-04-08","Candidate — Bulk Upload","e2e/Candidate/07-bulk-upload.spec.ts","",""
"","13437","reset button clears all filters","chromium","2026-04-08","passed","2026-04-08","Homepage — Filters > Filter by Status > Filter Modal — combined filters","e2e/homepage/05-homepage-filters.spec.ts","",""
"","19687","verify newly added contact shows correct details in table","chromium","2026-04-08","passed","2026-04-08","Business Settings","e2e/homepage/12-business-settings.spec.ts","",""
"","18944","create a new candidate profile successfully","chromium","2026-04-08","passed","2026-04-08","Candidate Management","e2e/Candidate/01-create-candidate.spec.ts","",""
"","10105","search by phone number shows matching candidate","chromium","2026-04-08","passed","2026-04-08","Homepage — Search","e2e/homepage/04-homepage-search.spec.ts","",""
"","13242","clearing search restores full candidate list","chromium","2026-04-08","passed","2026-04-08","Homepage — Search","e2e/homepage/04-homepage-search.spec.ts","",""
"","19991","submit with invalid phone format shows phone error","chromium","2026-04-08","passed","2026-04-08","Candidate — Create Profile Negative Scenarios","e2e/Candidate/11-create-candidate-negative.spec.ts","",""
"","13103","emirates ID appears in documents and delete is disabled","chromium","2026-04-08","passed","2026-04-08","Candidate — Documents Section","e2e/Candidate/03-documents.spec.ts","",""
"","26031","edit existing contact and verify all changes reflect in table","chromium","2026-04-08","passed","2026-04-08","Business Settings","e2e/homepage/12-business-settings.spec.ts","",""
"","13628","view document details shows correct information","chromium","2026-04-08","passed","2026-04-08","Candidate — Documents Section","e2e/Candidate/03-documents.spec.ts","",""
"","15303","combine top status dropdown + filter modal filters","chromium","2026-04-08","passed","2026-04-08","Homepage — Filters > Filter by Status > Filter Modal — combined filters","e2e/homepage/05-homepage-filters.spec.ts","",""
"","18700","add finance contact with all fields and verify in contacts table","chromium","2026-04-08","passed","2026-04-08","Business Settings","e2e/homepage/12-business-settings.spec.ts","",""
"","10235","search by candidate name shows matching results","chromium","2026-04-08","passed","2026-04-08","Homepage — Search","e2e/homepage/04-homepage-search.spec.ts","",""
"","8347","download button downloads a file","chromium","2026-04-08","passed","2026-04-08","Homepage — Download CSV","e2e/homepage/06-homepage-download.spec.ts","",""
"","13886","submit with all fields empty shows validation errors","chromium","2026-04-08","passed","2026-04-08","Candidate — Create Profile Negative Scenarios","e2e/Candidate/11-create-candidate-negative.spec.ts","",""
"","36688","upload with missing mandatory fields shows error then fix and re-upload","chromium","2026-04-08","passed","2026-04-08","Candidate — Bulk Upload Negative Scenarios","e2e/Candidate/08-bulk-upload-negative.spec.ts","",""
"","15211","authenticate","setup","2026-04-08","passed","2026-04-08","","fixtures/auth.setup.ts","",""
"","34555","upload duplicate candidate shows error then fix and re-upload","chromium","2026-04-08","passed","2026-04-08","Candidate — Bulk Upload Negative Scenarios","e2e/Candidate/08-bulk-upload-negative.spec.ts","",""
"","22147","generate all profiles report and verify CSV matches UI","chromium","2026-04-08","passed","2026-04-08","Reports — All Profiles","e2e/homepage/09-reports.spec.ts","",""
"","14954","submit add contact with empty fields shows all validation errors","chromium","2026-04-08","passed","2026-04-08","Business Settings","e2e/homepage/12-business-settings.spec.ts","",""
"","18200","add a new passport document to candidate profile","chromium","2026-04-08","passed","2026-04-08","Candidate — Documents Section","e2e/Candidate/03-documents.spec.ts","",""
"","31970","first name with single letter is accepted but single number is rejected","chromium","2026-04-08","passed","2026-04-08","Candidate — Create Profile Negative Scenarios","e2e/Candidate/11-create-candidate-negative.spec.ts","",""
"","20140","submit with invalid emirates id format shows format error","chromium","2026-04-08","passed","2026-04-08","Candidate — Create Profile Negative Scenarios","e2e/Candidate/11-create-candidate-negative.spec.ts","",""
"","16530","edit passport document updates details successfully","chromium","2026-04-08","passed","2026-04-08","Candidate — Documents Section","e2e/Candidate/03-documents.spec.ts","",""
"","16924","delete passport document removes it from documents section","chromium","2026-04-08","passed","2026-04-08","Candidate — Documents Section","e2e/Candidate/03-documents.spec.ts","",""
"","10497","business settings page loads with company info and contacts table","chromium","2026-04-08","passed","2026-04-08","Business Settings","e2e/homepage/12-business-settings.spec.ts","",""
"","10572","select multiple statuses shows candidates matching any selected status","chromium","2026-04-08","passed","2026-04-08","Homepage — Filters > Filter by Status","e2e/homepage/05-homepage-filters.spec.ts","",""
"","11615","search with no matching results shows empty table","chromium","2026-04-08","passed","2026-04-08","Homepage — Search","e2e/homepage/04-homepage-search.spec.ts","",""
"","11857","download file with combined filters","chromium","2026-04-08","passed","2026-04-08","Homepage — Download CSV","e2e/homepage/06-homepage-download.spec.ts","",""
